X Y Z Strati PART_ID
1.505406 0.295540 3.32516 0.000000 1
1.710851 0.284936 3.24865 0.000000 1
1.851495 -0.003390 3.19537 0.000000 1
2.240846 -0.237692 3.04396 0.000000 1
2.651827 -0.044266 2.90336 0.000000 1
3.181776 0.486114 2.75195 0.000000 1
3.614388 -0.270456 2.61135 0.000000 1
3.776618 -0.265148 2.63298 0.000000 1
3.830694 -0.077911 2.77358 0.000000 1
3.852325 0.272048 3.10885 0.000000 1
3.873955 0.342194 3.46576 0.000000 1
3.895585 -0.348773 3.68206 0.000000 1
3.921422 0.410191 3.96162 0.000000 1
4.057551 0.211153 4.03639 0.000000 1
4.211221 0.224591 4.07481 0.000000 1
1.983993 -0.195852 3.1442 0.000000 1
2.111974 0.447949 3.09283 0.000000 1
2.375809 0.016640 2.99659 0.000000 1
2.505367 -0.464299 2.9504 0.000000 1
2.818563 0.281779 2.85379 0.000000 1
3.002423 -0.148964 2.80692 0.000000 1
3.329585 -0.036496 2.68705 0.000000 1
3.465678 -0.422852 2.64109 0.000000 1
3.852325 0.096054 2.93175 0.000000 1
3.860436 -0.123006 3.30454 0.000000 1
3.884920 0.372103 3.57927 0.000000 1
3.877138 -0.195710 3.82885 0.000000 1
1.781173 0.140773 3.22201 0.000000 1
2.026654 0.018748 3.12708 0.000000 1
2.069314 0.233348 3.10995 0.000000 1
2.154932 0.219402 3.07654 0.000000 1
2.197889 -0.009145 3.06025 0.000000 1
2.440588 -0.223829 2.9735 0.000000 1
2.578597 -0.254283 2.92688 0.000000 1
2.735195 0.118756 2.87858 0.000000 1
2.910492 0.066407 2.83036 0.000000 1
3.062207 0.062728 2.7886 0.000000 1
3.121992 0.274421 2.77027 0.000000 1
3.255681 0.224809 2.7195 0.000000 1
3.397632 -0.229674 2.66407 0.000000 1
3.856380 0.074521 3.2067 0.000000 1
3.867196 0.109594 3.38515 0.000000 1
3.888475 0.131811 3.61353 0.000000 1
3.892030 -0.108481 3.6478 0.000000 1
3.891899 0.006257 3.8731 0.000000 1
3.906661 0.208224 3.91736 0.000000 1
